Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17100029
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/3 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
 3524 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.319  , 0  , 3.319  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.246  , 0  , 112.223  , 3.641  , 0  , 4.035  , 3.295  , 3.29  , 3.291  , 0  , 0  , 0  , 20.8  , 0  , 20  , 0  , 0  , 0  , 90.24993  , 0  , 81.36308  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 352.054  , 0  , 48.997  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:32:01 
 3525 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.35  , 0  , 3.351  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 774.816  , 0  , 113.645  , 3.677  , 0  , 4.086  , 3.334  , 3.33  , 3.331  , 0  , 0  , 0  , 20  , 0  , 18.4  , 0  , 0  , 0  , 90.61735  , 0  , 81.22858  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 407.447  , 0  , 60.002  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:32:22 
 3526 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.338  , 0  , 3.338  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.287  , 0  , 112.944  , 3.663  , 0  , 4.061  , 3.319  , 3.313  , 3.313  , 0  , 0  , 0  , 16.8  , 0  , 21.6  , 0  , 0  , 0  , 90.52689  , 0  , 81.67939  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 409.686  , 0  , 58.951  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:32:42 
 3527 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.323  , 0  , 3.321  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.381  , 0  , 112.258  , 3.642  , 0  , 4.035  , 3.301  , 3.298  , 3.298  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.28007  , 0  , 81.71004  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 375.873  , 0  , 51.742  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:33:04 
 3528 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.344  , 0  , 3.344  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 770.99  , 0  , 112.94  , 3.661  , 0  , 4.061  , 3.32  , 3.318  , 3.316  , 0  , 0  , 0  , 17.6  , 0  , 17.6  , 0  , 0  , 0  , 90.71292  , 0  , 81.72864  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 352.756  , 0  , 50.044  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:33:24 
 3529 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.323  , 0  , 3.324  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.402  , 0  , 112.619  , 3.65  , 0  , 4.05  , 3.305  , 3.301  , 3.301  , 0  , 0  , 0  , 20  , 0  , 18.4  , 0  , 0  , 0  , 90.30137  , 0  , 81.38271  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 330.607  , 0  , 46.786  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:33:45 
 3530 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.289  , 0  , 3.289  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 761.479  , 0  , 111.629  , 3.613  , 0  , 4.014  , 3.269  , 3.265  , 3.265  , 0  , 0  , 0  , 20  , 0  , 16.8  , 0  , 0  , 0  , 90.11902  , 0  , 81.39014  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 354.923  , 0  , 52.309  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:34:08 
 3531 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.335  , 0  , 3.334  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 770.567  , 0  , 112.736  , 3.654  , 0  , 4.053  , 3.311  , 3.306  , 3.306  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.42146  , 0  , 81.49519  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 328.259  , 0  , 48.593  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:34:29 
 3532 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.361  , 0  , 3.361  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 776.19  , 0  , 114.03  , 3.682  , 0  , 4.1  , 3.343  , 3.339  , 3.339  , 0  , 0  , 0  , 21.6  , 0  , 19.2  , 0  , 0  , 0  , 90.68441  , 0  , 81.34147  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 352.643  , 0  , 51.222  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:34:50 
 3533 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.358  , 0  , 3.359  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.48  , 0  , 113.751  , 3.681  , 0  , 4.09  , 3.34  , 3.335  , 3.336  , 0  , 0  , 0  , 20  , 0  , 20  , 0  , 0  , 0  , 90.60038  , 0  , 81.39364  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 310.621  , 0  , 44.447  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:35:11 
 3534 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.316  , 0  , 3.316  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.473  , 0  , 112.433  , 3.644  , 0  , 4.044  , 3.293  , 3.286  , 3.288  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.12074  , 0  , 81.03362  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 346.977  , 0  , 50.141  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:35:32 
 3535 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.325  , 0  , 3.326  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 768.854  , 0  , 112.676  , 3.648  , 0  , 4.052  , 3.305  , 3.303  , 3.303  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.51535  , 0  , 81.31787  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 381.21  , 0  , 53.326  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:35:52 
 3536 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.315  , 0  , 3.315  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.644  , 0  , 112.096  , 3.639  , 0  , 4.031  , 3.296  , 3.291  , 3.293  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.4919  , 0  , 81.36938  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 328.648  , 0  , 47.313  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:36:15 
 3537 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.354  , 0  , 3.355  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 774.87  , 0  , 113.542  , 3.678  , 0  , 4.082  , 3.336  , 3.333  , 3.333  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.32083  , 0  , 81.60217  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 361.681  , 0  , 55.519  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:36:36 
 3538 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.331  , 0  , 3.334  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 771.05  , 0  , 113.281  , 3.66  , 0  , 4.073  , 3.316  , 3.313  , 3.31  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.76502  , 0  , 81.24233  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 322.062  , 0  , 46.799  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:36:58 
 3539 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.359  , 0  , 3.359  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.766  , 0  , 113.656  , 3.681  , 0  , 4.085  , 3.338  , 3.335  , 3.335  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.57322  , 0  , 81.39535  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 319.201  , 0  , 44.524  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:37:18 
 3540 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.298  , 0  , 3.298  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 764.039  , 0  , 111.846  , 3.624  , 0  , 4.022  , 3.278  , 3.274  , 3.274  , 0  , 0  , 0  , 18.4  , 0  , 19.2  , 0  , 0  , 0  , 90.12141  , 0  , 81.20338  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 363.954  , 0  , 54.59  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:37:39 
 3541 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.31  , 0  , 3.311  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.49  , 0  , 112.385  , 3.639  , 0  , 4.04  , 3.295  , 3.291  , 3.289  , 0  , 0  , 0  , 17.6  , 0  , 17.6  , 0  , 0  , 0  , 90.40945  , 0  , 81.21287  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 412.322  , 0  , 59.835  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:38:00 
 3542 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.359  , 0  , 3.359  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.957  , 0  , 113.859  , 3.683  , 0  , 4.094  , 3.343  , 3.339  , 3.338  , 0  , 0  , 0  , 18.4  , 0  , 16.8  , 0  , 0  , 0  , 90.8227  , 0  , 81.26527  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 329.309  , 0  , 46.667  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:38:21 
 3543 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.301  , 0  , 3.303  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 765.545  , 0  , 112.154  , 3.632  , 0  , 4.033  , 3.284  , 3.281  , 3.281  , 0  , 0  , 0  , 18.4  , 0  , 20.8  , 0  , 0  , 0  , 89.97797  , 0  , 81.22985  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 364.454  , 0  , 53.879  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:38:43 
 3544 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.326  , 0  , 3.326  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 769.861  , 0  , 112.618  , 3.652  , 0  , 4.049  , 3.309  , 3.305  , 3.305  , 0  , 0  , 0  , 19.2  , 0  , 17.6  , 0  , 0  , 0  , 90.49836  , 0  , 81.27933  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 346.22  , 0  , 50.056  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:39:04 
 3545 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.353  , 0  , 3.353  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.409  , 0  , 113.575  , 3.679  , 0  , 4.084  , 3.336  , 3.331  , 3.333  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.51373  , 0  , 81.39079  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 357.337  , 0  , 54.692  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:39:24 
 3546 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.348  , 0  , 3.346  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 773.746  , 0  , 113.324  , 3.671  , 0  , 4.075  , 3.326  , 3.323  , 3.324  , 0  , 0  , 0  , 18.4  , 0  , 20  , 0  , 0  , 0  , 90.57478  , 0  , 81.76688  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 327.996  , 0  , 46.235  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:39:46 
 3547 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.338  , 0  , 3.339  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.095  , 0  , 112.989  , 3.662  , 0  , 4.063  , 3.32  , 3.315  , 3.316  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.60623  , 0  , 81.41767  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 299.793  , 0  , 42.799  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:40:06 
 3548 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.34  , 0  , 3.341  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 773.039  , 0  , 113.474  , 3.669  , 0  , 4.079  , 3.325  , 3.321  , 3.321  , 0  , 0  , 0  , 19.2  , 0  , 20  , 0  , 0  , 0  , 90.73317  , 0  , 81.26992  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 368.108  , 0  , 55.972  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:40:27 
 3549 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.339  , 0  , 3.34  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.702  , 0  , 113.018  , 3.665  , 0  , 4.064  , 3.323  , 3.321  , 3.32  , 0  , 0  , 0  , 17.6  , 0  , 22.4  , 0  , 0  , 0  , 90.47749  , 0  , 81.56988  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 350.203  , 0  , 51.068  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:40:49 
 3550 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.343  , 0  , 3.343  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 773.686  , 0  , 113.272  , 3.67  , 0  , 4.072  , 3.324  , 3.318  , 3.318  , 0  , 0  , 0  , 20  , 0  , 17.6  , 0  , 0  , 0  , 90.29972  , 0  , 81.50786  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 398.267  , 0  , 55.671  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:41:09 
 3551 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.316  , 0  , 3.316  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.771  , 0  , 112.131  , 3.639  , 0  , 4.032  , 3.296  , 3.291  , 3.293  , 0  , 0  , 0  , 19.2  , 0  , 20  , 0  , 0  , 0  , 90.46442  , 0  , 81.67162  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 327.166  , 0  , 46.696  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:41:31 
 3552 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.354  , 0  , 3.355  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 775.384  , 0  , 113.401  , 3.678  , 0  , 4.078  , 3.335  , 3.333  , 3.333  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.51115  , 0  , 81.58411  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 340.448  , 0  , 51.11  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:41:52 
 3553 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.335  , 0  , 3.334  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 770.376  , 0  , 112.454  , 3.657  , 0  , 4.043  , 3.315  , 3.309  , 3.309  , 0  , 0  , 0  , 20  , 0  , 19.2  , 0  , 0  , 0  , 90.42931  , 0  , 81.77096  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 391.121  , 0  , 56.66  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:42:13 
 3554 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.316  , 0  , 3.318  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 767.812  , 0  , 112.435  , 3.643  , 0  , 4.043  , 3.299  , 3.296  , 3.294  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.33763  , 0  , 81.37521  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 338.505  , 0  , 52.052  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:42:33 
 3555 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.339  , 0  , 3.338  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 772.101  , 0  , 112.939  , 3.663  , 0  , 4.062  , 3.319  , 3.311  , 3.311  , 0  , 0  , 0  , 18.4  , 0  , 17.6  , 0  , 0  , 0  , 90.41769  , 0  , 81.53619  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 365.8  , 0  , 53.622  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:42:54 
 3556 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.328  , 0  , 3.329  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 770.929  , 0  , 113.064  , 3.657  , 0  , 4.064  , 3.313  , 3.308  , 3.308  , 0  , 0  , 0  , 19.2  , 0  , 18.4  , 0  , 0  , 0  , 90.5387  , 0  , 81.34842  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 374.093  , 0  , 55.463  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:43:15 
 3557 ,PASS ,  0  , 0  , 0  , 0  , 0  , 0  , 3.308  , 0  , 3.309  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 766.957  , 0  , 112.538  , 3.638  , 0  , 4.045  , 3.289  , 3.284  , 3.281  , 0  , 0  , 0  , 19.2  , 0  , 19.2  , 0  , 0  , 0  , 90.13194  , 0  , 81.0136  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 315.371  , 0  , 47.19  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/3 ,下午 05:43:35 
